Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
6/1/2009,0:15,"Natal, Brazil",Air France,447,Rio de Janeiro - Paris,Airbus A330-203,F-GZCP,660,228,228,0,"The Airbus went missing over the AtlantiOcean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers.","-5.7792569,-35.2009160",-5.7792569,-35.200916
2/25/2009,10:31,"Amsterdam, Netherlands",Turkish Airlines,1951,"Istanbul, Turkey - Amsterdam, Netherlands",Boeing 737-8F2,TC-JGE,29789/1065,134,9,0,"The plane was on final approach to Runway 18R when it crashed 1 mile short of the runway into a field and broke in three. Nine people were killed and 55 injured. Preliminary indications show a false reading from a faulty altimeter caused an autopilot to sharply slow the jet, landing short of the runway","52.3666969,4.8945398",52.3666969,4.8945398
1/15/2009,15:06,"New York, New York",US Airways,1549,"New York, NY- Charlotte, NC",Airbus A320-214,N106US,1044,155,0,0,"The plane was taking off from La Guardia Airport when possibly, both engines were disabled after striking a flock of geese. The crew was able to ditch the plane in the Hudson River, making a soft landing. All 150 passengers and crew of 5 made it out safely before the plane began to sink. No one was reported to be seriously injured.","40.7127753,-74.0059728",40.7127753,-74.0059728
9/14/2008,3:15,"Perm, Russia",Aeroflot,821,Moscow - Perm,Boeing B-737-505,VP-BKO,25792/2353,88,88,0,"The aircraft crashed into a ravine adjacent to railroad tracks and near an apartment building as it was approaching Perm for a landing. The plane was at 3,600 when contact was lost with the tower. Pilot error. The captain 'lost spatial orientation' after he misread an altitude indicator on the instrument panel. The  investigation revealed that the pilot had traces on alcohol in his blood.","58.0091683,56.2269674",58.0091683,56.2269674
1/17/2008,12:43,"London, England",British Airways,,"Bejing, China - London, England",Boeing 777-236ER,G-YMMM,30314/342,152,0,0,"The aircraft was on approach for landing on Runway 27L at Heathrow Airport when at a height of approximately 600 ft and 2 miles from touch down the aircraft descended rapidly and struck the ground, 1,000 ft. short of the paved runway surface, just inside the airfield boundary fence.","51.5073509,-0.1277583",51.5073509,-0.1277583
5/5/2007,,"Dizangue, Cameroon",Kenya Airways,507,"Abidjan, Ivory Coast - Douala, Cameroon - Nairobi, Kenya",Boeing B-737-8AL,5Y-KYA,35071/2079,114,114,0,"The plane crashed in a dense, swampy forested area, 5 km from Douala Airport, moments after taking off in stormy weather. The plane was just six months old.","3.7796742,9.9772486",3.7796742,9.9772486
12/8/2005,19:15,"Chicago, Illinois",Southwest Airlines,1248,"Baltimore, Maryland - Chicago, Illinois - Las Vegas, Nevada",Boeing B-737-7H4,N471WN,32471/1535,103,0,1,"The jetliner slid off Runway 13C at Chicago's Midway Airport, went through an airport boundary fence and crashed into two vehicles at a nearby intersection, killing a young 6- year-old boy. Heavy snow was falling at the time of the accident. The plane had circled the airport for 30 to 35 minutes before attempting to land. The pilots' failure to use available reverse thrust in a timely manner to safely slow or stop the airplane after landing, which resulted in a runway overrun. This failure occurred because the pilots' first experience and lack of familiarity with the airplane's autobrake system distracted them from thrust reverser usage during the challenging landing. Contributing to the accident were Southwest Airline's 1) failure to provide its pilots with clear and consistent guidance and training regarding company policies and procedures related to arrival landing distance calculations; 2) programming and design of its onboard performance computer, which did not present inherent assumptions in the program critical to pilot decision making; 3) plan to implement new autobrake procedures without a familiarization period; and 4) failure to include a margin of safety in the arrival assessment to account for operational uncertainties. Also contributing to the accident was the pilots' failure to divert to another airport given reports that included poor braking action and a tailwind component greater than 5 knots. Contributing to the severity of the accident was the absence of an engineering materials arresting system, which was needed because of the limited runway safety area beyond the departure end of runway 31C.","41.8781136,-87.6297982",41.8781136,-87.6297982
8/2/2005,16:04,"Toronto, Canada",Air France,358,"Paris, France - Toronto Canada",Airbus A-340,F-GLZQ,289,309,0,0,"The plane landed almost half-way down Runway 24, overran the runway, broke in two and caught fire. There was severe thunderstorms at the time of the landing with rain, lightning and hail. All 309 aboard escaped. There were 43 injuries. The pilot landed the plane too far down the rain-slick runway making it virtually impossible to stop the plane before it ran off the runway. In addition, the reverse thrust was not employed until 17 seconds after the wheels touched down.","43.6532260,-79.3831843",43.653226,-79.3831843
10/14/2004,22:15,"Jefferson City, Missouri",Northwest Airlink,3701,Little Rock - Minneapolis,Canadair CRJ200LR RegionalJet,N8396A,10161,2,2,0,"On a night repositioning flight, while en route, the stick shaker activated several times before the plane entered a aerodynamistall. Almost simultaneously both engines stopped. The crew declared an emergency but the plane did not make the airport, crashed and broke up. PC:  The pilots' unprofessional behavior, deviation from standard operating procedures, and poor airmanship, which resulted in an in-flight emergency from which they were unable to recover, in part because of the pilots' inadequate training The pilots' failure to prepare for an emergency landing in a timely manner, including communicating with air trafficontrollers immediately after the emergency about the loss of both engines and the availability of landing sites and the pilots' failure to achieve and maintain the target airspeed in the double engine failure checklist, which caused the engine cores to stop rotating and resulted in the core lock engine condition. Contributing to this accident was the engine core lock condition, which prevented at least one engine from being restarted, and the airplane flight manuals that did not communicate to pilots the importance of maintaining a minimum airspeed to keep the engine cores rotating.","38.5767017,-92.1735164",38.5767017,-92.1735164
5/7/2002,15:17,"Tunis, Tunisia",EgyptAir,843,Cairo - Tunis,Boeing B-737-566,SU-GBI,25307/2135,62,14,0,"The jet airliner crashed into a hillside, 4 miles from the Tunis-Carthage airport, as the pilot attempted to make a landing. The plane's landing gear had failed to open during the approach into Tunis-Carthage airport and the pilot had made another circuit before attempting a fresh landing when the plane crashed in heavy rain and high winds. The accident was attributed to the rough weather conditions and the pilot's inability to deal with the situation.","36.8064948,10.1815316",36.8064948,10.1815316
