year,fatalities,abroad,commercial
1950,1382,1553,187
1951,1166,1328,252
1952,1200,1501,172
1953,1188,1492,139
1954,973,1159,140
1955,864,1180,266
1956,989,1498,159
1957,1004,1477,151
1958,1266,1633,241
1959,1027,1249,218
1960,1565,1914,412
1961,1411,1831,337
1962,2047,2445,883
1963,1303,1546,78
1964,1354,1717,174
1965,1636,2130,278
1967,1789,2339,459
1968,2156,2928,207
1969,1799,2383,306
1970,2049,2681,134
1971,1932,2567,585
1972,2937,3635,518
1973,2485,3433,725
1974,2318,3064,899
1975,1639,2308,278
1976,2059,2629,214
1977,2138,2662,528
1978,1558,2722,386
1979,2011,2457,403
1980,1827,2701,812
1981,1230,1550,239
1982,1787,3163,202
1983,1611,2352,280
1984,1228,1647,474
1985,2670,3480,322
1986,1471,2568,806
1987,1713,2220,275
1988,2034,3037,320
1989,2293,3643,313
1990,1312,2396,297
1991,1839,2459,231
1992,2122,2965,147
1993,1568,2419,255
1994,1876,3106,75
1995,1593,2112,207
1996,2386,3058,216
1997,1673,2485,131
1998,1544,2011,68
1999,970,2758,155
2000,1429,2357,236
2001,1398,2111,598
2002,1437,1798,526
2003,1276,1508,14
2004,728,937,2
2005,1306,2164,0
2006,1136,1413,0
2007,931,1364,114
2008,820,1463,88
2009,581,891,237
